Shape;Tucker Rank;Calculated Rank;Time
(64, 64, 2);(42, 8);(39, 42);0.0810335693359375
(64, 64, 2);(42, 8);(18, 61);0.0027153921127319337
(64, 64, 2);(42, 8);(37, 36);0.006819712162017822
(64, 64, 2);(42, 8);(33, 44);0.012279935836791992
(64, 64, 2);(42, 8);(24, 59);0.002554527997970581
(64, 64, 2);(42, 8);(22, 59);0.0021065919399261474
(64, 64, 2);(42, 8);(32, 47);0.00797430419921875
(64, 64, 2);(42, 8);(22, 54);0.003759552001953125
(64, 64, 2);(42, 8);(22, 58);0.0020570240020751952
(64, 64, 2);(42, 8);(18, 55);0.0034409279823303224
(64, 64, 2);(42, 8);(23, 58);0.0034590399265289305
(64, 64, 2);(42, 8);(44, 30);0.005921472072601319
(64, 64, 2);(42, 8);(26, 49);0.005243391990661621
(64, 64, 2);(42, 8);(25, 54);0.004689087867736816
(64, 64, 2);(42, 8);(16, 62);0.0020711679458618164
(64, 64, 2);(42, 8);(37, 44);0.014993375778198242
(64, 64, 2);(42, 8);(43, 31);0.014927583694458008
(64, 64, 2);(42, 8);(16, 61);0.0021377599239349367
(64, 64, 2);(42, 8);(25, 56);0.0026958398818969728
(64, 64, 2);(42, 8);(28, 51);0.004562655925750733
(64, 64, 2);(42, 8);(19, 62);0.0021544640064239504
(64, 64, 2);(42, 8);(38, 52);0.002957887887954712
(64, 64, 2);(42, 8);(20, 59);0.0020613760948181153
(64, 64, 2);(42, 8);(40, 32);0.010832544326782226
(64, 64, 2);(42, 8);(22, 60);0.0021286718845367433
(64, 64, 2);(42, 8);(34, 57);0.0020337600708007814
(64, 64, 2);(42, 8);(26, 28);0.014434816360473633
(64, 64, 2);(42, 8);(19, 60);0.0028016641139984133
(64, 64, 2);(42, 8);(21, 60);0.0021268479824066164
(64, 64, 2);(42, 8);(17, 60);0.0030592639446258545
(64, 64, 4);(57, 5);(25, 51);0.00503872013092041
(64, 64, 4);(57, 5);(11, 60);0.002599231958389282
(64, 64, 4);(57, 5);(42, 29);0.008189663887023926
(64, 64, 4);(57, 5);(20, 58);0.002190592050552368
(64, 64, 4);(57, 5);(37, 49);0.004777472019195556
(64, 64, 4);(57, 5);(14, 58);0.003953696012496948
(64, 64, 4);(57, 5);(12, 60);0.0022714879512786865
(64, 64, 4);(57, 5);(19, 60);0.002076159954071045
(64, 64, 4);(57, 5);(24, 54);0.0022656641006469727
(64, 64, 4);(57, 5);(18, 58);0.0028458878993988038
(64, 64, 4);(57, 5);(21, 56);0.0021515839099884035
(64, 64, 4);(57, 5);(22, 54);0.004034719944000244
(64, 64, 4);(57, 5);(18, 61);0.002078752040863037
(64, 64, 4);(57, 5);(19, 60);0.0024398720264434816
(64, 64, 4);(57, 5);(33, 39);0.009356255531311036
(64, 64, 4);(57, 5);(32, 44);0.007473375797271729
(64, 64, 4);(57, 5);(19, 59);0.0033293440341949465
(64, 64, 4);(57, 5);(13, 62);0.0020936319828033447
(64, 64, 4);(57, 5);(32, 42);0.02613839912414551
(64, 64, 4);(57, 5);(26, 56);0.0035010879039764405
(64, 64, 4);(57, 5);(19, 60);0.002788095951080322
(64, 64, 4);(57, 5);(13, 60);0.004005568027496338
(64, 64, 4);(57, 5);(15, 62);0.0021556479930877684
(64, 64, 4);(57, 5);(37, 39);0.006416704177856445
(64, 64, 4);(57, 5);(18, 52);0.003740288019180298
(64, 64, 4);(57, 5);(10, 55);0.0028424320220947264
(64, 64, 4);(57, 5);(19, 59);0.0025305919647216797
(64, 64, 4);(57, 5);(24, 47);0.008292160034179687
(64, 64, 4);(57, 5);(23, 55);0.0066202559471130375
(64, 64, 4);(57, 5);(21, 51);0.003811840057373047
(64, 64, 8);(13, 45);(32, 51);0.005088319778442383
(64, 64, 8);(13, 45);(35, 58);0.0021430718898773193
(64, 64, 8);(13, 45);(47, 39);0.008020607948303223
(64, 64, 8);(13, 45);(35, 52);0.005041183948516846
(64, 64, 8);(13, 45);(27, 60);0.002086400032043457
(64, 64, 8);(13, 45);(48, 41);0.004957248210906982
(64, 64, 8);(13, 45);(19, 36);0.014915103912353516
(64, 64, 8);(13, 45);(29, 37);0.015022047996520996
(64, 64, 8);(13, 45);(28, 13);0.014780768394470215
(64, 64, 8);(13, 45);(19, 6);0.015142975807189941
(64, 64, 8);(13, 45);(31, 56);0.0033638079166412355
(64, 64, 8);(13, 45);(31, 44);0.015325535774230957
(64, 64, 8);(13, 45);(42, 46);0.0021064000129699706
(64, 64, 8);(13, 45);(41, 41);0.009610527992248536
(64, 64, 8);(13, 45);(47, 38);0.015351136207580567
(64, 64, 8);(13, 45);(25, 58);0.0020984001159667968
(64, 64, 8);(13, 45);(20, 27);0.015601759910583496
(64, 64, 8);(13, 45);(29, 14);0.01528502368927002
(64, 64, 8);(13, 45);(31, 56);0.015213567733764649
(64, 64, 8);(13, 45);(37, 54);0.004011744022369384
(64, 64, 8);(13, 45);(29, 57);0.003373759984970093
(64, 64, 8);(13, 45);(28, 57);0.003505376100540161
(64, 64, 8);(13, 45);(34, 50);0.0027632958889007566
(64, 64, 8);(13, 45);(32, 56);0.0027744319438934325
(64, 64, 8);(13, 45);(27, 57);0.002071552038192749
