Shape;True Tucker Rank;Avg Time (sec);Std Time;Avg Rec Error;Avg Rank Error;Samples
(64, 64, 2);(42, 8);0.007667806975046793;0.014220706247172124;0.020886993035674095;1.0844682653745015;30
(64, 64, 4);(57, 5);0.004733639415105184;0.004485891357507478;0.002193174324929714;1.0507325778404872;30
(64, 64, 8);(13, 45);0.008367993577321372;0.005733196543339082;3.582582712173462;0.5195729116598765;30
(64, 64, 16);(49, 38);0.011258100287119549;0.005947017579664712;2.4857563972473145;0.3557689676682154;30
(64, 64, 32);(32, 7);0.00532926611105601;0.0041897805834983344;0.006514368578791618;1.407189432779948;30
(64, 64, 64);(18, 5);0.006697369527816773;0.004992060274062646;0.0073636192828416824;2.416212586561839;30
(64, 64, 128);(63, 64);0.018732874655723576;0.0032729550441512483;1.6961052417755127;0.4860850802312295;30
(64, 64, 256);(13, 12);0.00789209816455841;0.004190189923351867;0.001003638026304543;4.0500467618306475;30
(64, 64, 512);(21, 17);0.02591211013793946;0.020399545370894792;0.010706860572099686;1.5933898970484734;30
(64, 64, 1024);(29, 64);0.09984512329101562;0.022760944493631523;3.043278932571411;0.7017002324263255;30
(64, 64, 64, 2);(52, 18, 46);0.011501680024464923;0.003279738419883646;0.9392746686935425;0.0;30
(64, 64, 64, 4);(7, 49, 54);0.01662283089955648;0.0041889943106683215;0.7209904789924622;0.0;30
(64, 64, 64, 8);(53, 44, 10);0.01842357239723206;0.006581642516090442;0.8178454637527466;0.0;30
(64, 64, 64, 16);(62, 27, 9);0.01936809167861938;0.006280846431964875;0.7003260254859924;0.0;30
(64, 64, 64, 32);(53, 35, 59);0.006069175481796265;0.0025948195421102794;1.0068953037261963;0.0;30
(64, 64, 64, 64);(56, 41, 33);0.007228383954366048;0.0035945456736625305;0.9971573352813721;0.0;30
(64, 64, 64, 128);(49, 46, 41);0.013570223999023434;0.00834413165011083;1.0128930807113647;0.0;30
(64, 64, 64, 256);(23, 25, 62);0.03886393394470214;0.018388984438353614;0.593964695930481;0.0;30
(64, 64, 64, 512);(25, 14, 33);0.031429230817159017;0.02760536866781861;0.18624550104141235;0.6326598579684893;30
(64, 64, 64, 1024);(25, 39, 51);0.2630894449869791;0.087130944359669;19.151050567626953;0.01638242496798436;30
(64, 64, 64, 64, 2);(13, 46, 6, 47);0.014760765902201333;0.00866066829227398;1.0352104902267456;0.0;30
(64, 64, 64, 64, 4);(18, 47, 25, 60);0.012721117846171059;0.004879525078982951;1.036910891532898;0.0;30
(64, 64, 64, 64, 8);(4, 25, 62, 16);0.022205422846476235;0.013672422381840426;1.0423521995544434;0.0;30
(64, 64, 64, 64, 16);(16, 19, 6, 62);0.012759245872497557;0.004870305404663429;1.0254491567611694;0.0;30
(64, 64, 64, 64, 32);(9, 18, 49, 64);0.011370427831013994;0.003468734286678682;1.036553978919983;0.0;30
(64, 64, 64, 64, 64);(25, 8, 31, 10);0.01817669553756714;0.010803396997528077;1.035372257232666;0.0;30
(64, 64, 64, 64, 128);(47, 13, 9, 49);0.02421076587041219;0.012382681103159635;1.0784127712249756;0.0;30
(64, 64, 64, 64, 256);(39, 23, 12, 56);0.045707158152262374;0.030060373856303228;1.1718436479568481;0.0;30
(64, 64, 64, 64, 512);(14, 13, 50, 40);0.10633001047770183;0.06677628738341229;1.434036374092102;0.0;30
(64, 64, 64, 64, 1024);(27, 48, 50, 54);0.6272166198730468;0.19642816309749675;139.72650146484375;0.045429862663149835;30
(64, 64, 64, 64, 64, 2);(50, 25, 22, 28, 49);;;;;30
