Shape;True Tucker Rank;Calculated Rank;Time
(64, 64, 2);(41, 22);(22, 22);0.0046377921104431155
(64, 64, 2);(41, 22);(22, 22);0.004326752185821533
(64, 64, 2);(41, 22);(22, 22);0.00463212776184082
(64, 64, 2);(41, 22);(22, 22);0.004132127761840821
(64, 64, 2);(41, 22);(22, 22);0.004572864055633545
(64, 64, 2);(41, 22);(22, 22);0.004515359878540039
(64, 64, 2);(41, 22);(22, 22);0.004208000183105469
(64, 64, 2);(41, 22);(22, 22);0.004098080158233643
(64, 64, 2);(41, 22);(22, 22);0.004933279991149902
(64, 64, 2);(41, 22);(22, 22);0.00412556791305542
(64, 64, 2);(41, 22);(22, 22);0.00422163200378418
(64, 64, 2);(41, 22);(22, 22);0.0048306241035461425
(64, 64, 2);(41, 22);(22, 22);0.004198592185974121
(64, 64, 2);(41, 22);(22, 22);0.004223423957824707
(64, 64, 2);(41, 22);(22, 22);0.004420896053314209
(64, 64, 2);(41, 22);(22, 22);0.00453657579421997
(64, 64, 2);(41, 22);(22, 22);0.004136864185333252
(64, 64, 2);(41, 22);(22, 22);0.004522016048431396
(64, 64, 2);(41, 22);(22, 22);0.004098015785217285
(64, 64, 2);(41, 22);(22, 22);0.004586207866668701
(64, 64, 2);(41, 22);(22, 22);0.004437632083892822
(64, 64, 2);(41, 22);(22, 22);0.004233695983886719
(64, 64, 2);(41, 22);(22, 22);0.004115359783172607
(64, 64, 2);(41, 22);(22, 22);0.004695648193359375
(64, 64, 2);(41, 22);(22, 22);0.00411030387878418
(64, 64, 2);(41, 22);(22, 22);0.004206336021423339
(64, 64, 2);(41, 22);(22, 22);0.004482272148132324
(64, 64, 2);(41, 22);(22, 22);0.004571263790130615
(64, 64, 2);(41, 22);(22, 22);0.004185184001922608
(64, 64, 2);(41, 22);(22, 22);0.004415103912353516
(64, 64, 4);(21, 24);(21, 21);0.004670144081115723
(64, 64, 4);(21, 24);(21, 21);0.004163904190063477
(64, 64, 4);(21, 24);(21, 21);0.004553311824798584
(64, 64, 4);(21, 24);(21, 21);0.004114496231079102
(64, 64, 4);(21, 24);(21, 21);0.004593023777008057
(64, 64, 4);(21, 24);(21, 21);0.004443903923034668
(64, 64, 4);(21, 24);(21, 21);0.004218175888061524
(64, 64, 4);(21, 24);(21, 21);0.004123392105102539
(64, 64, 4);(21, 24);(21, 21);0.004755296230316162
(64, 64, 4);(21, 24);(21, 21);0.004246655941009521
(64, 64, 4);(21, 24);(21, 21);0.004116320133209229
(64, 64, 4);(21, 24);(21, 21);0.00486300802230835
(64, 64, 4);(21, 24);(21, 21);0.00412716817855835
(64, 64, 4);(21, 24);(21, 21);0.004233215808868408
(64, 64, 4);(21, 24);(21, 21);0.004459584236145019
(64, 64, 4);(21, 24);(21, 21);0.004550271987915039
(64, 64, 4);(21, 24);(21, 21);0.004158175945281982
(64, 64, 4);(21, 24);(21, 21);0.004639071941375732
(64, 64, 4);(21, 24);(21, 21);0.004161151885986328
(64, 64, 4);(21, 24);(21, 21);0.004625184059143066
(64, 64, 4);(21, 24);(21, 21);0.004460288047790527
(64, 64, 4);(21, 24);(21, 21);0.004332159996032715
(64, 64, 4);(21, 24);(21, 21);0.004194176197052002
(64, 64, 4);(21, 24);(21, 21);0.005002431869506836
(64, 64, 4);(21, 24);(21, 21);0.0043426241874694824
(64, 64, 4);(21, 24);(21, 21);0.0041751680374145506
(64, 64, 4);(21, 24);(21, 21);0.0049236478805542
(64, 64, 4);(21, 24);(21, 21);0.004171648025512695
(64, 64, 4);(21, 24);(21, 21);0.004254271984100342
(64, 64, 4);(21, 24);(21, 21);0.004464159965515137
(64, 64, 8);(41, 56);(41, 41);0.004392352104187012
(64, 64, 8);(41, 56);(41, 41);0.003942912101745606
(64, 64, 8);(41, 56);(41, 41);0.00431935977935791
(64, 64, 8);(41, 56);(41, 41);0.003893376111984253
(64, 64, 8);(41, 56);(41, 41);0.0046063361167907714
(64, 64, 8);(41, 56);(41, 41);0.004313536167144775
(64, 64, 8);(41, 56);(41, 41);0.003990240097045898
(64, 64, 8);(41, 56);(41, 41);0.0038986239433288572
(64, 64, 8);(41, 56);(41, 41);0.004726272106170654
(64, 64, 8);(41, 56);(41, 41);0.003997375965118408
(64, 64, 8);(41, 56);(41, 41);0.003884160041809082
(64, 64, 8);(41, 56);(41, 41);0.0046145601272583004
(64, 64, 8);(41, 56);(41, 41);0.004009952068328857
(64, 64, 8);(41, 56);(41, 41);0.003974208116531372
(64, 64, 8);(41, 56);(41, 41);0.004201119899749756
(64, 64, 8);(41, 56);(41, 41);0.004290048122406006
(64, 64, 8);(41, 56);(41, 41);0.004013599872589112
(64, 64, 8);(41, 56);(41, 41);0.004321375846862793
(64, 64, 8);(41, 56);(41, 41);0.004116479873657227
(64, 64, 8);(41, 56);(41, 41);0.0044135041236877445
(64, 64, 8);(41, 56);(41, 41);0.004308063983917237
(64, 64, 8);(41, 56);(41, 41);0.0039985599517822264
(64, 64, 8);(41, 56);(41, 41);0.0038773760795593262
(64, 64, 8);(41, 56);(41, 41);0.004355231761932373
(64, 64, 8);(41, 56);(41, 41);0.004326784133911133
