Shape;True Tucker Rank;Avg Time (sec);Std Time;Avg Rec Error;Avg Rank Error;Samples
(64, 64, 2);(41, 22);0.004380319992701213;0.0002328323426759793;;0.408342570066452;30
(64, 64, 4);(21, 24);0.004404534419377645;0.00025802614712295836;;0.09407208859920502;30
(64, 64, 8);(41, 56);0.004170950404802959;0.0002588204136436174;;0.21612396836280823;30
(64, 64, 16);(17, 39);0.004507177607218424;0.0002449555453647244;;0.5171105265617371;30
(64, 64, 32);(22, 36);0.004601325845718384;0.00022635431530859977;;0.33183184266090393;30
(64, 64, 64);(35, 26);0.004108207988739013;0.00023889758508751217;;0.20641984045505524;30
(64, 64, 128);(45, 35);0.004309327983856201;0.00024410248360691214;;0.17541161179542542;30
(64, 64, 256);(62, 32);0.003489964826901754;0.00023797833959009383;;0.4299777150154114;30
(64, 64, 512);(56, 15);0.0035220991849899286;0.00024401801735679385;;0.707211971282959;30
(64, 64, 1024);(17, 26);0.004287743997573853;0.0002410284730990979;;0.28972023725509644;30
(64, 64, 64, 2);(28, 37, 35);0.005529480568567912;0.00023308829503437166;;0.0;30
(64, 64, 64, 4);(24, 1, 19);0.004990574947992962;0.0002956347002619654;;0.16325579583644867;30
(64, 64, 64, 8);(63, 58, 18);0.004821350383758544;0.0002793615702762106;;0.0;30
(64, 64, 64, 16);(38, 13, 32);0.0057992352008819584;0.00024480108526156864;;0.0;30
(64, 64, 64, 32);(37, 4, 2);0.004321267175674438;0.00025188301157394883;;0.7781205177307129;30
(64, 64, 64, 64);(51, 27, 40);0.005348186635971069;0.00029001359725999655;;0.0;30
(64, 64, 64, 128);(30, 58, 45);0.005668739191691081;0.00024986469306366953;;0.0;30
(64, 64, 64, 256);(11, 24, 34);0.005613414398829142;0.00024843065116299045;;0.0;30
(64, 64, 64, 512);(53, 11, 28);0.0059873642921447765;0.00025534638764599196;;0.0;30
(64, 64, 64, 1024);(35, 44, 24);0.005872889566421509;0.0002852863279588305;;0.0;30
(64, 64, 64, 64, 2);(21, 26, 61, 56);0.041741343688964844;0.0004373294267928457;;0.0;30
(64, 64, 64, 64, 4);(26, 53, 34, 12);0.04283255666097005;0.0002901147858117011;;0.0;30
(64, 64, 64, 64, 8);(12, 3, 39, 8);0.042674541219075525;0.00047346146487172277;;0.0;30
(64, 64, 64, 64, 16);(11, 1, 12, 2);0.042356189982096344;0.0003906033225513402;;0.0;30
(64, 64, 64, 64, 32);(26, 53, 8, 5);0.04225381647745769;0.00032943761928570266;;0.0;30
(64, 64, 64, 64, 64);(59, 52, 23, 15);0.0403606605529785;0.0002730395697494081;;0.0;30
(64, 64, 64, 64, 128);(54, 52, 13, 58);0.04022243525187174;0.0006350181910724915;;0.0;30
(64, 64, 64, 64, 256);(47, 51, 31, 56);0.04100368537902833;0.00034172064850721315;;0.0;30
(64, 64, 64, 64, 512);(5, 58, 42, 23);0.04208813883463543;0.0003002481628280756;;0.0;30
(64, 64, 64, 64, 1024);(35, 63, 12, 37);0.04225823402404785;0.0003265975584788566;;0.0;30
(64, 64, 64, 64, 64, 2);(21, 30, 59, 32, 39);;;;;30
