Shape;Tucker Rank;Calculated Rank;Time
(2, 2);(1, 1);(1, 2);0.00261081600189209
(2, 2);(1, 1);(2, 2);0.004866112232208252
(2, 2);(1, 1);(1, 2);0.003780735969543457
(2, 2);(1, 1);(2, 2);0.003532991886138916
(2, 2);(1, 1);(2, 2);0.004417503833770752
(2, 2);(1, 1);(1, 2);0.0016721279621124267
(2, 2);(1, 1);(2, 2);0.002465951919555664
(2, 2);(1, 1);(2, 2);0.002320863962173462
(2, 2);(1, 1);(2, 2);0.0016874239444732667
(2, 2);(1, 1);(1, 2);0.001676192045211792
(2, 2);(1, 1);(2, 2);0.0015874240398406983
(2, 2);(1, 1);(2, 2);0.0015929280519485474
(2, 2);(1, 1);(1, 2);0.0016487679481506348
(2, 2);(1, 1);(2, 2);0.0022180800437927245
(2, 2);(1, 1);(1, 2);0.0015804799795150757
(2, 2);(1, 1);(2, 2);0.0017012480497360228
(2, 2);(1, 1);(1, 2);0.00157532799243927
(2, 2);(1, 1);(2, 2);0.001646623969078064
(2, 2);(1, 1);(2, 2);0.0015820159912109375
(2, 2);(1, 1);(2, 2);0.0018612159490585328
(2, 2);(1, 1);(2, 2);0.0016095679998397827
(2, 2);(1, 1);(2, 2);0.0015854079723358154
(2, 2);(1, 1);(1, 2);0.002047039985656738
(2, 2);(1, 1);(2, 2);0.0015848640203475952
(2, 2);(1, 1);(1, 2);0.0015691839456558228
(2, 2);(1, 1);(2, 2);0.0015646719932556152
(2, 2);(1, 1);(1, 2);0.0020140480995178224
(2, 2);(1, 1);(2, 2);0.0015500799417495729
(2, 2);(1, 1);(2, 2);0.0015920959711074828
(2, 2);(1, 1);(1, 2);0.0017429120540618896
(4, 4);(2, 4);(3, 4);0.0019747519493103025
(4, 4);(2, 4);(4, 4);0.0016094720363616943
(4, 4);(2, 4);(3, 4);0.0016429760456085204
(4, 4);(2, 4);(3, 4);0.0017324800491333007
(4, 4);(2, 4);(4, 3);0.001927616000175476
(4, 4);(2, 4);(4, 4);0.0025722880363464357
(4, 4);(2, 4);(3, 4);0.0017294720411300658
(4, 4);(2, 4);(3, 4);0.0018899199962615968
(4, 4);(2, 4);(4, 4);0.0017303359508514405
(4, 4);(2, 4);(3, 4);0.0016783679723739624
(4, 4);(2, 4);(4, 4);0.0015768640041351318
(4, 4);(2, 4);(3, 4);0.0018101439476013183
(4, 4);(2, 4);(3, 4);0.0015990079641342162
(4, 4);(2, 4);(4, 4);0.001609344005584717
(4, 4);(2, 4);(4, 4);0.0016159360408782959
(4, 4);(2, 4);(4, 4);0.00179475200176239
(4, 4);(2, 4);(3, 4);0.0016652159690856933
(4, 4);(2, 4);(3, 4);0.0015657919645309449
(4, 4);(2, 4);(3, 4);0.0017447359561920167
(4, 4);(2, 4);(3, 4);0.0015782079696655274
(4, 4);(2, 4);(3, 4);0.0017211840152740478
(4, 4);(2, 4);(3, 4);0.0016265599727630616
(4, 4);(2, 4);(3, 3);0.0027625598907470702
(4, 4);(2, 4);(4, 4);0.0018640960454940796
(4, 4);(2, 4);(3, 4);0.0017667200565338135
(4, 4);(2, 4);(4, 4);0.00159443199634552
(4, 4);(2, 4);(3, 4);0.0016091519594192505
(4, 4);(2, 4);(4, 4);0.0016042560338974
(4, 4);(2, 4);(4, 4);0.0026657280921936035
(4, 4);(2, 4);(4, 4);0.001579103946685791
(8, 8);(7, 1);(6, 7);0.0017787840366363526
(8, 8);(7, 1);(5, 8);0.0019958399534225463
(8, 8);(7, 1);(5, 7);0.0016379200220108033
(8, 8);(7, 1);(4, 8);0.002151871919631958
(8, 8);(7, 1);(5, 7);0.0022128319740295412
(8, 8);(7, 1);(5, 8);0.002229759931564331
(8, 8);(7, 1);(5, 6);0.0022022080421447753
(8, 8);(7, 1);(6, 8);0.0016372159719467163
(8, 8);(7, 1);(5, 8);0.0019090559482574463
(8, 8);(7, 1);(4, 7);0.0017527040243148803
(8, 8);(7, 1);(5, 7);0.0015828479528427124
(8, 8);(7, 1);(4, 7);0.0015825279951095581
(8, 8);(7, 1);(6, 7);0.0028666560649871827
(8, 8);(7, 1);(5, 8);0.0016595840454101563
(8, 8);(7, 1);(5, 7);0.0016203839778900146
(8, 8);(7, 1);(6, 8);0.0027168641090393065
