Shape;True Tucker Rank;Avg Time (sec);Std Time;Avg Rec Error;Avg Rank Error;Samples
(2, 2);(1, 1);0.0020961567918459574;0.0008734266959496748;8.775341e-05;0.8926058153311411;30
(4, 4);(2, 4);0.0017947157303492228;0.0003114353753637846;0.00023269837;0.3253499855597814;30
(8, 8);(7, 1);0.0021947797417640686;0.0008533289135958279;0.0007920856;0.9515612800916036;30
(16, 16);(3, 5);0.0034762816111246746;0.002787508718958007;0.001732637;1.9004345854123434;30
(32, 32);(9, 13);0.005568454388777416;0.005073993505828735;0.3439531;0.9885846890509129;30
(64, 64);(20, 22);0.011972359466552732;0.004948426099353911;1.6092843;0.6211304600040118;30
(128, 128);(103, 115);0.019415182940165206;0.0026839966296771348;1.8179886;0.40006266385316847;30
(256, 256);(79, 181);0.031054741525650024;0.007015539375074959;5.1868362;0.7266871362924576;30
(512, 512);(170, 275);0.0631706600189209;0.017533997662623882;3.163144;0.7723970691363017;30
(2, 2, 2);(2, 1, 1);0.0037953503847122185;0.0009256112999879483;0.00033393313;0.5604400604963302;30
(4, 4, 4);(3, 4, 1);0.007697112584114074;0.007759807400371701;0.0034157203;0.24151868224143982;30
(8, 8, 8);(7, 2, 8);0.028300158977508545;0.012993629549994803;0.15271786;0.0;30
(16, 16, 16);(9, 7, 16);0.01859455674489339;0.004795294281662905;0.54448736;0.0;30
(32, 32, 32);(11, 7, 8);0.03766572271982829;0.005042846460282897;0.032682728;0.0;30
(64, 64, 64);(55, 3, 28);0.028896191151936847;0.005849905959817742;0.11601074;0.0;30
(128, 128, 128);(125, 117, 96);0.007822874625523885;0.003909380930615019;1.0662837;0.0;30
(256, 256, 256);(92, 151, 17);0.022727720642089843;0.010286760012502222;1.1026454;0.0;30
(512, 512, 512);(20, 217, 203);0.1895469980875651;0.10150270636385336;1.3505634;0.0;30
(2, 2, 2, 2);(1, 1, 2, 1);0.005877113580703735;0.0011138812802798193;5.3749874e-05;0.6650144000848134;30
(4, 4, 4, 4);(3, 4, 2, 3);0.02460648441314697;0.009497815223415583;0.5091537;0.0;30
(8, 8, 8, 8);(2, 8, 6, 6);0.025016537348429353;0.007451818458871639;0.759907;0.0;30
(16, 16, 16, 16);(16, 13, 6, 6);0.014144101285934445;0.004442624485419562;0.9586063;0.0;30
(32, 32, 32, 32);(15, 6, 30, 29);0.010088720067342122;0.004650492794946022;1.0133976;0.0;30
(64, 64, 64, 64);(27, 51, 50, 14);0.01777631149291992;0.009297138843050626;1.0356805;0.0;30
(128, 128, 128, 128);(94, 122, 33, 120);0.14678720626831054;0.05494918541135038;1.0757508;0.0;30
