Shape;True Tucker Rank;Calculated Rank;Time
(2, 2);(2, 1);(1, 1);0.0003213120102882385
(2, 2);(2, 1);(1, 1);0.0002395839989185333
(2, 2);(2, 1);(1, 1);0.00021593600511550902
(2, 2);(2, 1);(1, 1);0.00021116800606250764
(2, 2);(2, 1);(1, 1);0.00019852800667285919
(2, 2);(2, 1);(1, 1);0.0002202879935503006
(2, 2);(2, 1);(1, 1);0.00019948799908161164
(2, 2);(2, 1);(1, 1);0.00024831999838352206
(2, 2);(2, 1);(1, 1);0.00018803200125694274
(2, 2);(2, 1);(1, 1);0.0005589439868927002
(2, 2);(2, 1);(1, 1);0.00029257598519325255
(2, 2);(2, 1);(1, 1);0.00019721600413322447
(2, 2);(2, 1);(1, 1);0.00020800000429153443
(2, 2);(2, 1);(1, 1);0.00020579199492931367
(2, 2);(2, 1);(1, 1);0.0001894720047712326
(2, 2);(2, 1);(1, 1);0.00020921599864959716
(2, 2);(2, 1);(1, 1);0.00017897599935531617
(2, 2);(2, 1);(1, 1);0.00018425600230693816
(2, 2);(2, 1);(1, 1);0.00019305600225925446
(2, 2);(2, 1);(1, 1);0.0002078399956226349
(2, 2);(2, 1);(1, 1);0.0001791680008172989
(2, 2);(2, 1);(1, 1);0.00018095999956130982
(2, 2);(2, 1);(1, 1);0.0002006720006465912
(2, 2);(2, 1);(1, 1);0.00018547199666500092
(2, 2);(2, 1);(1, 1);0.00018137599527835846
(2, 2);(2, 1);(1, 1);0.00017635199427604674
(2, 2);(2, 1);(1, 1);0.00018908800184726715
(2, 2);(2, 1);(1, 1);0.0001804479956626892
(2, 2);(2, 1);(1, 1);0.0001921280026435852
(2, 2);(2, 1);(1, 1);0.0002003840059041977
(4, 4);(1, 2);(1, 1);0.0005452479720115662
(4, 4);(1, 2);(1, 1);0.00023030400276184083
(4, 4);(1, 2);(1, 1);0.00021753600239753722
(4, 4);(1, 2);(1, 1);0.0002354239970445633
(4, 4);(1, 2);(1, 1);0.0002444159984588623
(4, 4);(1, 2);(1, 1);0.0002608320116996765
(4, 4);(1, 2);(1, 1);0.00023891200125217437
(4, 4);(1, 2);(1, 1);0.0003192319869995117
(4, 4);(1, 2);(1, 1);0.00020982399582862853
(4, 4);(1, 2);(1, 1);0.0002041279971599579
(4, 4);(1, 2);(1, 1);0.0002186879962682724
(4, 4);(1, 2);(1, 1);0.00022444799542427064
(4, 4);(1, 2);(1, 1);0.00022089600563049316
(4, 4);(1, 2);(1, 1);0.00023145599663257599
(4, 4);(1, 2);(1, 1);0.00022089600563049316
(4, 4);(1, 2);(1, 1);0.00021033599972724914
(4, 4);(1, 2);(1, 1);0.0002061759978532791
(4, 4);(1, 2);(1, 1);0.00021651199460029602
(4, 4);(1, 2);(1, 1);0.0002279359996318817
(4, 4);(1, 2);(1, 1);0.0002280000001192093
(4, 4);(1, 2);(1, 1);0.00021887999773025513
(4, 4);(1, 2);(1, 1);0.00020953600108623505
(4, 4);(1, 2);(1, 1);0.0002115200012922287
(4, 4);(1, 2);(1, 1);0.00020796799659729003
(4, 4);(1, 2);(1, 1);0.0002154559940099716
(4, 4);(1, 2);(1, 1);0.00020182399451732636
(4, 4);(1, 2);(1, 1);0.00020684799551963807
(4, 4);(1, 2);(1, 1);0.0002143999934196472
(4, 4);(1, 2);(1, 1);0.00022553600370883942
(4, 4);(1, 2);(1, 1);0.00020703999698162078
(8, 8);(4, 6);(4, 4);0.00040185600519180296
(8, 8);(4, 6);(4, 4);0.0003470720052719116
(8, 8);(4, 6);(4, 4);0.00034089601039886475
(8, 8);(4, 6);(4, 4);0.0007439680099487304
(8, 8);(4, 6);(4, 4);0.00044627198576927186
(8, 8);(4, 6);(4, 4);0.000328000009059906
(8, 8);(4, 6);(4, 4);0.00032700800895690916
(8, 8);(4, 6);(4, 4);0.00031968000531196596
(8, 8);(4, 6);(4, 4);0.00032675200700759885
(8, 8);(4, 6);(4, 4);0.0006816959977149963
(8, 8);(4, 6);(4, 4);0.000357695996761322
(8, 8);(4, 6);(4, 4);0.00035631999373435973
(8, 8);(4, 6);(4, 4);0.0003354560136795044
(8, 8);(4, 6);(4, 4);0.0003321920037269592
(8, 8);(4, 6);(4, 4);0.0003257920145988464
(8, 8);(4, 6);(4, 4);0.0003298879861831665
(8, 8);(4, 6);(4, 4);0.0003296320140361786
(8, 8);(4, 6);(4, 4);0.00035660800337791444
(8, 8);(4, 6);(4, 4);0.0003634240031242371
(8, 8);(4, 6);(4, 4);0.0003280960023403168
(8, 8);(4, 6);(4, 4);0.0003447360098361969
(8, 8);(4, 6);(4, 4);0.00033139199018478394
(8, 8);(4, 6);(4, 4);0.00032611200213432314
(8, 8);(4, 6);(4, 4);0.0003275519907474518
(8, 8);(4, 6);(4, 4);0.0004323199987411499
(8, 8);(4, 6);(4, 4);0.00032844799757003785
(8, 8);(4, 6);(4, 4);0.00032726401090621947
(8, 8);(4, 6);(4, 4);0.0003382399976253509
(8, 8);(4, 6);(4, 4);0.0003261440098285675
(8, 8);(4, 6);(4, 4);0.00032812801003456114
(16, 16);(7, 10);(7, 7);0.0005034880042076111
(16, 16);(7, 10);(7, 7);0.00047171199321746827
(16, 16);(7, 10);(7, 7);0.0004884479939937592
(16, 16);(7, 10);(7, 7);0.00045916798710823057
(16, 16);(7, 10);(7, 7);0.0004679040014743805
(16, 16);(7, 10);(7, 7);0.0004759359955787659
(16, 16);(7, 10);(7, 7);0.00047702398896217347
(16, 16);(7, 10);(7, 7);0.0004593279957771301
(16, 16);(7, 10);(7, 7);0.0007281280159950256
(16, 16);(7, 10);(7, 7);0.0008596479892730713
(16, 16);(7, 10);(7, 7);0.0005408959984779358
(16, 16);(7, 10);(7, 7);0.00047443199157714845
(16, 16);(7, 10);(7, 7);0.0004891520142555237
(16, 16);(7, 10);(7, 7);0.0004649600088596344
(16, 16);(7, 10);(7, 7);0.00046880000829696653
(16, 16);(7, 10);(7, 7);0.0004715200066566467
(16, 16);(7, 10);(7, 7);0.0005089280009269715
(16, 16);(7, 10);(7, 7);0.000510208010673523
(16, 16);(7, 10);(7, 7);0.00046860799193382263
(16, 16);(7, 10);(7, 7);0.00046163201332092283
(16, 16);(7, 10);(7, 7);0.00046268799901008606
(16, 16);(7, 10);(7, 7);0.0004639680087566376
(16, 16);(7, 10);(7, 7);0.0004620159864425659
(16, 16);(7, 10);(7, 7);0.00045980799198150633
(16, 16);(7, 10);(7, 7);0.00046883198618888854
(16, 16);(7, 10);(7, 7);0.0005686720013618469
(16, 16);(7, 10);(7, 7);0.00046979200839996336
(16, 16);(7, 10);(7, 7);0.0004734399914741516
(16, 16);(7, 10);(7, 7);0.0004567680060863495
(16, 16);(7, 10);(7, 7);0.0004607360064983368
(32, 32);(6, 8);(6, 6);0.0005875200033187867
(32, 32);(6, 8);(6, 6);0.0009431040287017822
(32, 32);(6, 8);(6, 6);0.0005734720230102539
(32, 32);(6, 8);(6, 6);0.000579967975616455
(32, 32);(6, 8);(6, 6);0.0005446720123291016
(32, 32);(6, 8);(6, 6);0.0005435519814491272
(32, 32);(6, 8);(6, 6);0.0005572159886360168
(32, 32);(6, 8);(6, 6);0.0010571199655532836
(32, 32);(6, 8);(6, 6);0.0005585600137710571
