Shape;True Tucker Rank;Avg Time (sec);Std Time;Avg Rec Error;Avg Rank Error;Samples
(2, 2);(2, 1);0.00021780159970124564;7.09545983393041e-05;;0.4472135901451111;30
(4, 4);(1, 2);0.00023434026439984637;6.176568366433883e-05;;0.4472135901451111;30
(8, 8);(4, 6);0.00036962133646011345;9.683895163906163e-05;;0.2773500978946686;30
(16, 16);(7, 10);0.0004998879998922348;8.41339017366086e-05;;0.24576957523822784;30
(32, 32);(6, 8);0.0006043935974438984;0.00012580299317468426;;0.20000000298023224;30
(64, 64);(15, 8);0.003866011722882589;0.00021942614959111198;;0.4117647111415863;30
(128, 128);(55, 92);0.014956611124674479;0.0002303044532359844;;0.34519192576408386;30
(256, 256);(136, 5);0.030093271382649743;0.0004548234823101852;;0.9625850319862366;30
(512, 512);(373, 202);0.13432593790690103;0.00040634577771683946;;0.40312591195106506;30
(2, 2, 2);(2, 1, 1);0.00034868693252404525;8.38140901720855e-05;;0.40824827551841736;30
(4, 4, 4);(1, 3, 2);0.00039629653294881185;7.272320363942538e-05;;0.26726123690605164;30
(8, 8, 8);(6, 8, 6);0.0013081994652748108;0.0001341030425197153;;0.0;30
(16, 16, 16);(11, 7, 8);0.0019856138785680133;0.0002000374495260467;;0.0;30
(32, 32, 32);(28, 17, 12);0.002099492267767588;0.00018325839549446067;;0.0;30
(64, 64, 64);(47, 47, 48);0.005464558951059978;0.0002708670491898603;;0.0;30
(128, 128, 128);(7, 83, 43);0.024739579836527508;0.0002494578765971858;;0.0;30
(256, 256, 256);(89, 19, 141);0.08095605545043945;0.0003900905297335176;;0.0;30
(512, 512, 512);(300, 72, 308);0.41120142923990877;0.0006594737764848892;;0.0;30
(2, 2, 2, 2);(2, 1, 2, 2);0.00045047893027464544;9.10442085028219e-05;;0.0;30
(4, 4, 4, 4);(1, 1, 1, 2);0.0009917365312576295;0.00011862933424900272;;0.37796449661254883;30
(8, 8, 8, 8);(5, 4, 2, 3);0.0020382229526837666;0.0002132144029532913;;0.0;30
(16, 16, 16, 16);(5, 15, 16, 12);0.0022886112133661905;0.00021257776575642532;;0.0;30
(32, 32, 32, 32);(16, 28, 18, 6);0.006138109874725341;0.00025720099335904353;;0.0;30
(64, 64, 64, 64);(58, 32, 62, 14);0.04039643363952636;0.0003664941448119497;;0.0;30
(128, 128, 128, 128);(17, 85, 14, 121);0.5365061503092448;0.0007183741664423754;;0.0;30
