matrix_shape,method,error_mean,error_std,time_mean,time_std,rank_mean,rank_std,matrix_type,dim1,dim2
16x16,svd_baseline,4.2056267466250576e-05,1.1858604793795452e-05,0.000890857849844906,0.0008254520691202778,16.0,0.0,square,16,16
32x32,svd_baseline,0.0001445836605853401,1.5979761167318378e-05,0.0009134237998296157,0.0003053279372917688,32.0,0.0,square,32,32
64x64,svd_baseline,0.0005883067555259913,4.7561039755045136e-05,0.002799923350539757,0.0003364379073115487,64.0,0.0,square,64,64
128x128,svd_baseline,0.003328362433239818,0.00010576414892533554,0.005877581100139651,0.0006067379832539277,128.0,0.0,square,128,128
256x256,svd_baseline,0.016659060819074513,0.00040725034860081434,0.012939189950157016,0.0006328710509840591,256.0,0.0,square,256,256
512x512,svd_baseline,0.08556229956448078,0.001578892220058593,0.030181054450076773,0.0014270745785560078,512.0,0.0,square,512,512
1024x1024,svd_baseline,0.31220990121364595,0.0074723878095981485,0.08315503495014127,0.002100081502679923,1024.0,0.0,square,1024,1024
2048x2048,svd_baseline,1.2571813821792603,0.03662264021107116,0.2453532969502703,0.036458649293701594,2048.0,0.0,square,2048,2048
4096x4096,svd_baseline,4.144703388214111,0.1422278139709592,2.692718088499896,0.025417645744948054,4096.0,0.0,square,4096,4096
16x16,normal,4.992703725292813e-05,9.20203676976624e-06,0.0014157835003061336,0.00023850400218086173,16.0,0.0,square,16,16
32x32,normal,0.00014967128226999192,1.8440226198652002e-05,0.0026529314502113264,0.0005245655511566437,32.0,0.0,square,32,32
64x64,normal,0.0005622251483146101,4.713274002177366e-05,0.006702547749591758,0.0005574153551085735,64.0,0.0,square,64,64
128x128,normal,0.003133341739885509,0.00018350799205350647,0.012874614850443323,0.0009340944987254946,128.0,0.0,square,128,128
256x256,normal,0.01561131770722568,0.00039609540303755077,0.026343459900090238,0.0005918795455065496,256.0,0.0,square,256,256
512x512,normal,0.08289592675864696,0.0016445501477625752,0.06759568139987096,0.0011852272936700894,512.0,0.0,square,512,512
1024x1024,normal,0.3220638960599899,0.005874173927480159,0.18795422410039464,0.003624621971556317,1024.0,0.0,square,1024,1024
2048x2048,normal,1.340328758955002,0.028141192440005864,0.5548317292499633,0.07049189237282713,2048.0,0.0,square,2048,2048
4096x4096,normal,4.506244730949402,0.10757889403505494,4.527560319050099,0.03472318481623029,4096.0,0.0,square,4096,4096
256x16,normal,0.0001714799007459078,2.179681965738316e-05,0.003366137899683963,0.00021227581917749566,16.0,0.0,rectangular,256,16
256x32,normal,0.0003764204288017936,3.334312999391943e-05,0.004029469799388607,0.0003084817405939003,32.0,0.0,rectangular,256,32
256x64,normal,0.0011386349535314367,9.855522995982246e-05,0.005803076299889654,0.00039691029372770047,64.0,0.0,rectangular,256,64
256x128,normal,0.003764020185917616,0.0001926262344403007,0.009695057850331068,0.0004353802364608156,128.0,0.0,rectangular,256,128
256x256,normal,0.01587651912122965,0.0005821376703218433,0.016006944799846677,0.00030377750389223667,256.0,0.0,square,256,256
256x512,normal,0.01941888192668557,0.000397898343335761,0.016849068950068612,0.00024324758589846878,256.0,0.0,rectangular,256,512
256x1024,normal,0.03111206032335758,0.0005483474720912316,0.021894100550343864,0.0003173913007090432,256.0,0.0,rectangular,256,1024
256x2048,normal,0.04635062627494335,0.0007749061044091658,0.03662585100028082,0.0003094818743652535,256.0,0.0,rectangular,256,2048
256x4096,normal,0.06637020818889142,0.001296795575222924,0.10983483489962964,0.0009158424715036942,256.0,0.0,rectangular,256,4096
16x16,ortho,4.762570606544614e-05,1.0181466955471688e-05,0.001874105450042407,0.0004194814928292967,16.0,0.0,square,16,16
32x32,ortho,0.00015368350541393737,2.1514251858938816e-05,0.0031070571991222095,0.0005468969693168922,32.0,0.0,square,32,32
64x64,ortho,0.0005587360574281774,4.445563761822984e-05,0.00784725140019873,0.0020429685188956192,64.0,0.0,square,64,64
128x128,ortho,0.0032116040820255876,0.00015216689300310204,0.014069295349690947,0.001663911657125891,128.0,0.0,square,128,128
256x256,ortho,0.015586936427280308,0.0004903190223125402,0.030529002599905652,0.0022078159229883443,256.0,0.0,square,256,256
512x512,ortho,0.08241923302412033,0.001442569142923949,0.0776742694000859,0.0027875546990080865,512.0,0.0,square,512,512
1024x1024,ortho,0.325312639772892,0.004918973900640484,0.24810945724984776,0.011949568015959767,1024.0,0.0,square,1024,1024
2048x2048,ortho,1.3576736867427825,0.024116854984928073,0.9085153078503936,0.014143853781400284,2048.0,0.0,square,2048,2048
4096x4096,ortho,4.468090271949768,0.12973984809890546,5.4002063881998765,0.06973351138723144,4096.0,0.0,square,4096,4096
